
DRAFT (MLD.)	DRAFT (B.O.K)	DIS. (S.W)	DIS. (F.W)	VOL. (MLD)	L.C.F.	L.C.B.	V.C.B.	T.P.C.	M.T.C.	K.M.T	Cb	Cp	Cw	Cm	W.P.A.	W.S.A.
5.850	5.867	25767.3	25138.8	25073.6	3.566	6.257	3.054	47.9	504.7	17.400	.7824	.7896	.8523	.9908	4669.0	6080
5.900	5.917	26008.0	25373.6	25308.1	3.487	6.229	3.082	48.0	505.8	17.312	.7830	.7902	.8529	.9909	4672.7	6100
5.950	5.967	26248.6	25608.4	25542.5	3.408	6.201	3.110	48.0	506.9	17.226	.7836	.7907	.8536	.9910	4676.4	6120
6.000	6.017	26489.3	25843.2	25776.9	3.330	6.174	3.137	48.1	508.0	17.141	.7842	.7913	.8543	.9911	4680.1	6140
6.050	6.067	26730.0	26078.1	26011.4	3.252	6.147	3.164	48.1	509.1	17.058	.7848	.7918	.8550	.9911	4683.8	6160
6.100	6.117	26970.7	26312.9	26245.8	3.174	6.121	3.190	48.1	510.2	16.977	.7854	.7923	.8556	.9912	4687.5	6180
6.150	6.167	27211.4	26547.7	26480.2	3.095	6.095	3.215	48.2	511.3	16.896	.7859	.7928	.8563	.9913	4691.2	6200
6.200	6.217	27452.1	26782.5	26714.6	3.018	6.070	3.241	48.2	512.3	16.818	.7865	.7934	.8570	.9914	4694.9	6220
6.250	6.267	27692.7	27017.3	26949.1	2.940	6.045	3.265	48.2	513.4	16.740	.7871	.7939	.8577	.9914	4698.6	6240
6.300	6.317	27933.4	27252.1	27183.5	2.862	6.020	3.290	48.3	514.5	16.664	.7876	.7944	.8583	.9915	4702.2	6260
6.350	6.367	28174.1	27486.9	27417.9	2.784	5.996	3.314	48.3	515.6	16.589	.7881	.7948	.8590	.9916	4705.9	6280
6.400	6.417	28414.8	27721.7	27652.4	2.707	5.973	3.337	48.4	516.7	16.516	.7887	.7953	.8597	.9916	4709.6	6300
6.450	6.467	28655.5	27956.6	27886.8	2.630	5.949	3.360	48.4	517.8	16.444	.7892	.7958	.8603	.9917	4713.3	6320
6.500	6.517	28896.2	28191.4	28121.2	2.553	5.926	3.383	48.4	518.9	16.373	.7897	.7963	.8610	.9918	4717.0	6340
6.550	6.567	29137.5	28426.9	28356.3	2.471	5.901	3.407	48.5	519.9	16.304	.7902	.7967	.8617	.9918	4720.5	6361
6.600	6.617	29381.3	28664.7	28593.8	2.374	5.866	3.437	48.5	520.8	16.239	.7908	.7973	.8622	.9919	4723.5	6381
6.650	6.667	29625.1	28902.5	28831.2	2.276	5.831	3.466	48.6	521.6	16.175	.7914	.7978	.8628	.9919	4726.5	6402
6.700	6.717	29868.8	29140.3	29068.6	2.179	5.797	3.495	48.6	522.5	16.113	.7919	.7983	.8633	.9920	4729.5	6423
6.750	6.767	30112.6	29378.2	29306.1	2.083	5.763	3.523	48.5	523.4	16.051	.7925	.7988	.8639	.9921	4732.6	6444
6.800	6.817	30356.4	29616.0	29543.5	1.986	5.730	3.551	48.6	524.2	15.991	.7930	.7993	.8644	.9921	4735.6	6465
6.850	6.867	30600.2	29853.8	29780.9	1.889	5.698	3.578	48.7	525.1	15.931	.7936	.7998	.8650	.9922	4738.6	6485
6.900	6.917	30843.9	30091.6	30018.4	1.793	5.666	3.605	48.7	526.0	15.872	.7941	.8003	.8655	.9922	4741.6	6506
6.950	6.967	31087.7	30329.4	30255.8	1.696	5.634	3.632	48.7	526.8	15.814	.7946	.8008	.8660	.9923	4744.6	6527
7.000	7.017	31331.4	30567.3	30493.2	1.600	5.603	3.658	48.7	527.7	15.758	.7952	.8013	.8666	.9924	4747.6	6548
7.050	7.067	31575.2	30805.1	30730.6	1.504	5.573	3.684	48.8	528.6	15.702	.7957	.8018	.8671	.9924	4750.6	6569
7.100	7.117	31819.0	31042.9	30968.1	1.408	5.543	3.709	48.8	529.4	15.646	.7962	.8022	.8677	.9925	4753.6	6590
7.150	7.167	32062.8	31280.7	31205.5	1.312	5.513	3.734	48.8	530.3	15.592	.7967	.8027	.8682	.9925	4756.6	6610
7.200	7.217	32306.5	31518.6	31442.9	1.216	5.484	3.758	48.9	531.2	15.539	.7971	.8031	.8688	.9926	4759.6	6631
7.250	7.267	32550.3	31756.4	31680.4	1.121	5.455	3.783	48.9	532.0	15.486	.7976	.8036	.8693	.9926	4762.6	6652
7.300	7.317	32794.1	31994.2	31917.8	1.025	5.427	3.806	48.9	532.9	15.434	.7981	.8040	.8699	.9927	4765.6	6673
7.350	7.367	33037.8	32232.0	32155.2	.930	5.399	3.830	49.0	533.8	15.383	.7986	.8044	.8704	.9928	4768.6	6694
7.400	7.417	33281.6	32469.8	32392.7	.835	5.371	3.853	49.0	534.7	15.333	.7990	.8048	.8710	.9928	4771.6	6714
7.450	7.467	33526.1	32708.4	32630.8	.734	5.340	3.878	49.1	535.6	15.284	.7995	.8053	.8716	.9929	4774.8	6736
7.500	7.517	33772.5	32948.8	32870.9	.620	5.300	3.907	49.0	536.7	15.241	.8000	.8058	.8722	.9929	4778.5	6758
7.550	7.567	34018.8	33189.1	33110.9	.506	5.260	3.936	49.1	537.8	15.197	.8005	.8062	.8729	.9930	4782.1	6780
7.600	7.617	34265.2	33429.5	33350.9	.392	5.220	3.964	49.1	538.9	15.155	.8010	.8067	.8736	.9930	4785.8	6802
7.650	7.667	34511.6	33669.8	33591.0	.279	5.181	3.992	49.2	540.0	15.113	.8015	.8072	.8742	.9930	4789.5	6824
7.700	7.717	34758.0	33910.2	33831.0	.165	5.143	4.020	49.2	541.1	15.071	.8020	.8076	.8749	.9930	4793.2	6846
7.750	7.767	35004.3	34150.6	34071.1	.052	5.105	4.047	49.2	542.2	15.031	.8025	.8081	.8756	.9931	4796.8	6869
7.800	7.817	35250.7	34390.9	34311.1	-.061	5.068	4.074	49.3	543.3	14.990	.8029	.8085	.8763	.9931	4800.5	6891
7.850	7.867	35497.1	34631.3	34551.2	-.174	5.031	4.100	49.3	544.4	14.951	.8034	.8089	.8769	.9932	4804.2	6913
7.900	7.917	35743.5	34871.7	34791.2	-.287	4.995	4.126	49.4	545.5	14.911	.8039	.8094	.8776	.9932	4807.9	6935
7.950	7.967	35989.8	35112.0	35031.2	-.399	4.959	4.152	49.4	546.6	14.873	.8043	.8098	.8783	.9933	4811.5	6957
8.000	8.017	36236.2	35352.4	35271.3	-.512	4.924	4.177	49.4	547.7	14.835	.8048	.8102	.8789	.9933	4815.2	6979
8.050	8.067	36482.6	35592.8	35511.3	-.624	4.889	4.203	49.5	548.8	14.797	.8052	.8106	.8796	.9934	4818.9	7001
8.100	8.117	36729.0	35833.1	35751.4	-.736	4.855	4.227	49.5	549.9	14.760	.8057	.8110	.8803	.9934	4822.5	7024
8.150	8.167	36975.3	36073.5	35991.4	-.848	4.821	4.252	49.5	551.0	14.724	.8061	.8114	.8810	.9935	4826.2	7046
8.200	8.217	37221.7	36313.9	36231.4	-.959	4.787	4.276	49.6	552.1	14.687	.8065	.8118	.8816	.9935	4829.9	7068
8.250	8.267	37468.1	36554.2	36471.5	-1.071	4.754	4.299	49.6	553.2	14.652	.8069	.8122	.8823	.9935	4833.6	7090
8.300	8.317	37714.5	36794.6	36711.5	-1.182	4.722	4.323	49.6	554.3	14.617	.8074	.8126	.8830	.9935	4837.2	7112
8.350	8.367	37962.4	37036.5	36953.1	-1.292	4.685	4.348	49.7	555.7	14.583	.8078	.8130	.8838	.9936	4841.6	7134
8.400	8.417	38213.4	37281.4	37197.8	-1.400	4.639	4.377	49.7	557.8	14.553	.8083	.8135	.8848	.9936	4847.2	7157
8.450	8.467	38464.5	37526.3	37442.4	-1.507	4.594	4.406	49.8	559.8	14.524	.8088	.8140	.8858	.9937	4852.8	7179
8.500	8.517	38715.6	37771.3	37687.0	-1.613	4.549	4.434	49.9	561.9	14.495	.8093	.8144	.8868	.9937	4858.5	7201
8.550	8.567	38966.6	38016.2	37931.7	-1.720	4.505	4.462	49.9	563.9	14.466	.8098	.8149	.8879	.9938	4864.1	7224
8.600	8.617	39217.7	38261.1	38176.3	-1.826	4.462	4.490	50.0	566.0	14.437	.8103	.8154	.8889	.9937	4869.8	7246
8.650	8.667	39468.7	38506.1	38421.0	-1.932	4.419	4.517	50.0	568.0	14.409	.8108	.8158	.8899	.9938	4875.4	7268
8.700	8.717	39719.8	38751.0	38665.6	-2.038	4.376	4.544	50.1	570.1	14.381	.8112	.8163	.8910	.9938	4881.0	7291
8.750	8.767	39970.8	38995.9	38910.2	-2.143	4.334	4.571	50.1	572.2	14.354	.8117	.8167	.8920	.9939	4886.7	7313
8.800	8.817	40221.9	39240.9	39154.9	-2.248	4.293	4.597	50.2	574.2	14.327	.8122	.8171	.8930	.9939	4892.3	7335
8.850	8.867	40473.0	39485.8	39399.5	-2.353	4.252	4.623	50.3	576.3	14.300	.8126	.8176	.8940	.9940	4897.9	7358
8.900	8.917	40724.0	39730.7	39644.2	-2.458	4.212	4.649	50.3	578.3	14.274	.8131	.8180	.8951	.9939	4903.6	7380
8.950	8.967	40975.1	39975.7	39888.8	-2.563	4.172	4.674	50.4	580.4	14.248	.8135	.8184	.8961	.9940	4909.2	7402
9.000	9.017	41226.1	40220.6	40133.5	-2.667	4.133	4.699	50.4	582.4	14.222	.8140	.8188	.8971	.9941	4914.8	7425
9.050	9.067	41477.2	40465.5	40378.1	-2.771	4.094	4.724	50.5	584.5	14.196	.8144	.8193	.8982	.9941	4920	7447
9.100	9.117	41728.2	40710.5	40622.8	-2.875	4.055	4.748	50.5	586.5	14.171	.8148	.8197	.8992	.9941	4926	7469
9.150	9.167	41979.3	40955.4	40867.4	-2.978	4.017	4.773	50.6	588.6	14.146	.8153	.8201	.9002	.9941	4931	7492
9.200	9.217	42230.4	41200.3	41112.0	-3.062	3.980	4.798	50.7	590.7	14.122	.8157	.8205	.9012	.9942	4936	7514
9.250	9.267	42482.9	41446.7	41358.1	-3.150	3.940	4.822	50.7	592.3	14.099	.8161	.8209	.9021	.9942	4941	7535
9.300	9.317	42737.8	41695.4	41605.5	-3.198	3.895	4.851	50.7	593.3	14.078	.8166	.8214	.9026	.9942	4944	7554
9.350	9.367	42992.6	41944.0	41854.9	-3.237	3.851	4.880	50.8	594.2	14.057	.8171	.8218	.9031	.9943	4947	7574
9.400	9.417	43247.5	42192.1	42103.4	-3.275	3.807	4.908	50.8	595.2	14.036	.8176	.8223	.9035	.9943	4950	7593
9.450	9.467	43502.4	42441.3	42351.8	-3.313	3.764	4.936	50.8	596.1	14.016	.8181	.8227	.9040	.9943	4952	7612
9.500	9.517	43757.3	42690.0	42600.2	-3.352	3.722	4.964	50.8	597.1	13.996	.8185	.8232	.9045	.9944	4955	7631
9.550	9.567	44012.1	42938.1	42848.6	-3.390	3.679	4.991	50.9	598.0	13.976	.8190	.8236	.9050	.9944	4958	7650
9.600	9.617	44267.0	43186.3	43097.0	-3.428	3.638	5.018	50.9	599.0	13.957	.8194	.8240	.9055	.9944	4960	7670
9.650	9.667	44521.9	43435.0	43345.4	-3.466	3.597	5.045	50.9	599.9	13.937	.8199	.8245	.9060	.9945	4963	7689
9.700	9.717	44776.8	43684.7	43593.8	-3.504	3.556	5.071	51.0	600.9	13.918	.8204	.8249	.9065	.9945	4966	7708
9.750	9.767	45031.6	43933.3	43842.2	-3.542	3.516	5.097	51.0	601.8	13.899	.8208	.8253	.9070	.9945	4968	7727
9.800	9.817	45286.5	44182.0	44090.6	-3.580	3.476	5.123	51.0	602.8	13.880	.8212	.8257	.9075	.9945	4971	7746
9.850	9.867	45541.4	44430.6	44339.1	-3.618	3.437	5.148	51.0	603.8	13.862	.8217	.8262	.9080	.9946	4974	7766
9.900	9.917	45796.3	44679.3	44587.5	-3.656	3.398	5.174	51.1	604.7	13.844	.8221	.8266	.9085	.9946	4977	7785
9.950	9.967	46051.2	44928.0	44835.9	-3.694	3.359	5.199	51.1	605.7	13.826	.8225	.8270	.9090	.9946	4979	7804
10.000	10.017	46306.0	45176.6	45084.3	-3.731	3.321	5.223	51.2	606.5	13.808	.8229	.8274	.9095	.9946	4982	7823
10.050	10.067	46560.9	45425.3	45332.7	-3.769	3.284	5.248	51.2	607.6	13.790	.8234	.8278	.9100	.9947	4985	7842
10.100	10.117	46815.8	45673.9	45581.1	-3.808	3.246	5.272	51.2	608.5	13.772	.8238	.8282	.9105	.9947	4988	7862
10.150	10.167	47071.5	45923.4	45830.4	-3.832	3.209	5.298	51.2	609.4	13.756	.8242	.8286	.9109	.9947	4990	7881
10.200	10.217	47328.3	46174.0	46080.7	-3.845	3.170	5.326	51.2	610.0	13.743	.8246	.8290	.9112	.9948	4992	7899
10.250	10.267	47585.2	46424.6	46331.0	-3.850	3.131	5.355	51.2	610.7	13.729	.8251	.8294	.9116	.9948	4993	7917
10.300	10.317	47842.0	46675.7	46581.3	-3.860	3.093	5.383	51.3	611.5	13.715	.8255	.8298	.9119	.9948	4995	7936
10.350	10.367	48098.8	46925.1	46831.7	-3.869	3.056	5.411	51.3	612.1	13.702	.8259	.8302	.9122	.9949	4997	7954
10.400	10.417	48355.7	47176.2	47082.0	-3.878	3.019	5.438	51.3	612.7	13.689	.8264	.8306	.9126	.9949	4999	7972
10.450	10.467	48612.5	47426.8	47332.3	-3.887	2.982	5.465	51.3	613.4	13.676	.8268	.8310	.9129	.9949	5001	7991
10.500	10.517	48869.3	47677.4	47582.6	-3.895	2.946	5.492	51.3	614.1	13.663	.8272	.8314	.9132	.9949	5003	8009
10.550	10.567	49126.1	47927.9	47833.0	-3.905	2.910	5.519	51.3	614.7	13.650	.8276	.8318	.9136	.9949	5004	8028
10.600	10.617	49383.0	48178.5	48083.3	-3.914	2.874	5.545	51.4	615.4	13.637	.8280	.8322	.9139	.9949	5006	8046
10.650	10.667	49639.8	48429.1	48333.6	-3.923	2.839	5.571	51.4	616.1	13.624	.8284	.8326	.9143	.9950	5008	8064
10.700	10.717	49896.6	48679.6	48583.9	-3.932	2.804	5.597	51.4	616.8	13.612	.8288	.8330	.9146	.9950	5010	8083
10.750	10.767	50153.4	48930.2	48834.3	-3.942	2.769	5.622	51.4	617.4	13.600	.8292	.8334	.9149	.9950	5012	8101
10.800	10.817	50410.3	49180.8	49084.6	-3.951	2.735	5.648	51.4	618.1	13.588	.8296	.8337	.9153	.9950	5014	8120
